term,estimate,std.error,conf.low,conf.high,model
(Intercept),-3.2285585058425523,0.25899740631039597,-3.7361840943002154,-2.7209329173848893,binom_other
depth_sc,-0.20817706853803805,0.16670276922894717,-0.5349084923498664,0.1185543552737903,binom_other
(Intercept),-3.418808045829998,0.32834387144356336,-4.062350208403831,-2.7752658832561643,binom_natural
depth_sc,0.10892661924760819,0.2313113039661797,-0.3444352057431008,0.5622884442383173,binom_natural
(Intercept),-3.642418794309249,0.2507313206614213,-4.1338431526017985,-3.1509944360167,binom_glass
depth_sc,-0.20184902417274947,0.20662178134830428,-0.6068202740369357,0.20312222569143673,binom_glass
(Intercept),-4.221170735599008,0.48738827586282363,-5.176434202777215,-3.2659072684208015,binom_metal
depth_sc,-0.17646310181470695,0.24380106209866478,-0.654304402920703,0.3013781992912892,binom_metal
(Intercept),-3.7550004329745277,0.26319345770354347,-4.270850131040039,-3.2391507349090167,binom_rubber
depth_sc,0.12373429976182809,0.29232385453681653,-0.44920992695225787,0.6966785264759141,binom_rubber
